"Name","ID","Group","blur_kernel_size","morph_iterations","morph_kernel_size","threshold_high","threshold_low","detection_rate","mean_iou"
"canny-trial-0053","f15jm986","20260611-152809","9","15","5","85.42509689267945","40.329431593098604","0.4215686274509804","0.5135185148211789"
"canny-trial-0084","lykzj0ba","20260611-152809","9","15","5","86.9602348495345","10.08035856072632","0.4215686274509804","0.5211945889136093"
"canny-trial-0097","bw2ihw36","20260611-152809","11","15","5","64.19271181778899","42.2606375889828","0.4215686274509804","0.5239847253078939"
"canny-trial-0045","jmqrf155","20260611-152809","9","15","5","81.70508628117196","33.11548719495916","0.4215686274509804","0.5288568376884681"
"canny-trial-0099","jyd2i6u2","20260611-152809","11","15","5","63.850846445694295","23.37030515714371","0.4117647058823529","0.5281134791423735"
"canny-trial-0051","ds11y647","20260611-152809","9","15","5","130.06768197101349","31.587778929010092","0.4117647058823529","0.3972046786217533"
"canny-trial-0075","kuxpvhjd","20260611-152809","9","15","5","131.2137278511587","26.043825684063457","0.4117647058823529","0.3968313216054886"
"canny-trial-0043","2mo06f8m","20260611-152809","9","15","5","132.93512132917516","34.28411976735044","0.4117647058823529","0.39861949101430344"
"canny-trial-0076","pr2bi42t","20260611-152809","9","14","7","155.56482532405312","19.695247601657776","0.4117647058823529","0.406678553155662"
"canny-trial-0082","5irabbol","20260611-152809","9","15","5","139.16209543565472","20.754252425017565","0.4019607843137255","0.3901232251399595"
"canny-trial-0044","46hyw04i","20260611-152809","9","15","5","79.08702078602379","33.641478497947986","0.4019607843137255","0.5286122418564349"
"canny-trial-0049","vphnmyan","20260611-152809","9","14","5","137.85735570694374","15.528788746501052","0.392156862745098","0.3871797810274432"
"canny-trial-0071","7qtry6u7","20260611-152809","9","15","5","138.76835360024933","22.046998576740904","0.392156862745098","0.3806139909934726"
"canny-trial-0124","xrs5z7hu","20260611-152809","11","15","7","111.91344213203098","94.3478725642937","0.392156862745098","0.3795706453504348"
"canny-trial-0025","ris8d5on","20260611-152809","11","13","3","100.39114607516106","27.461596634356567","0.38235294117647056","0.36905563627554033"
"canny-trial-0129","sqdv7m47","20260611-152809","11","14","7","116.19494877525838","84.70563045624152","0.37254901960784315","0.35676677498018294"
"canny-trial-0086","k1yj9k1u","20260611-152809","9","14","5","134.17412688904682","41.98268774373848","0.3627450980392157","0.3561156665804283"
"canny-trial-0139","lvuc27p8","20260611-152809","11","15","7","118.34510027994938","91.07320654006544","0.3627450980392157","0.3569818172865273"
"canny-trial-0047","9uuff51c","20260611-152809","9","15","5","74.77397805033081","50.25624494335546","0.35294117647058826","0.4787553954533555"
"canny-trial-0089","f3tqik8m","20260611-152809","9","13","5","134.54638007609586","53.568629814156175","0.3333333333333333","0.32484801101925403"
"canny-trial-0092","gj0mi9om","20260611-152809","11","14","5","53.571334725349374","36.11057127115545","0.3235294117647059","0.46818572219993426"
"canny-trial-0032","fn4g3tk9","20260611-152809","7","8","3","111.3556416309469","40.85151282897573","0.3235294117647059","0.32017245626823215"
"canny-trial-0031","t00plwql","20260611-152809","7","9","3","107.3071294513118","43.16739861803117","0.30392156862745096","0.3383468823004047"
"canny-trial-0012","3x0khlj1","20260611-152809","7","11","3","98.57685423391524","13.777169727491785","0.30392156862745096","0.37052776761123535"
"canny-trial-0021","9u8qdts3","20260611-152809","7","8","3","88.17870153598484","22.18176051473905","0.30392156862745096","0.3812381543553232"
"canny-trial-0022","j70wzaol","20260611-152809","7","7","3","111.40280333241428","50.93830799740313","0.28431372549019607","0.28286588331145396"
"canny-trial-0033","yq98nxa3","20260611-152809","9","7","3","100.55824326823584","22.844612443633515","0.28431372549019607","0.2975871782580509"
"canny-trial-0016","k0u8y251","20260611-152809","7","9","3","116.33505616341009","46.40090618698349","0.28431372549019607","0.28999093431510553"
"canny-trial-0058","bvt9em8b","20260611-152809","9","13","5","147.25011022379107","55.912865855323375","0.2647058823529412","0.26900629979514157"
"canny-trial-0023","ylnczszp","20260611-152809","7","4","3","61.202208962912245","25.647385721114965","0.2549019607843137","0.3573994782997395"
"canny-trial-0019","y7moslpb","20260611-152809","5","13","7","221.2763890224522","43.88946741791669","0.2549019607843137","0.2979358865088294"
"canny-trial-0003","71m6lrkm","20260611-152809","7","8","3","84.14746236149684","15.541317810122072","0.2549019607843137","0.3742802042172253"
"canny-trial-0026","ezhjtn6c","20260611-152809","11","13","3","125.078840774905","29.553495959205264","0.24509803921568624","0.24502058838522903"
"canny-trial-0046","1gg1y1pw","20260611-152809","9","14","5","161.8454959131759","61.086932587598014","0.24509803921568624","0.2674739867821114"
"canny-trial-0057","gfttod2k","20260611-152809","9","12","5","163.40709652579906","47.611637002686074","0.2352941176470588","0.23617626364164784"
"canny-trial-0013","tkqanhku","20260611-152809","7","8","3","125.19241510745309","34.536830916377426","0.2352941176470588","0.2616289716813535"
"canny-trial-0114","50dgrlaw","20260611-152809","11","3","7","91.68093166236928","62.26053469196982","0.22549019607843135","0.2319929572734915"
"canny-trial-0036","vrwfupx2","20260611-152809","7","8","7","74.70398908981835","19.858150876667125","0.22549019607843135","0.3415823925132216"
"canny-trial-0087","b53ux4ho","20260611-152809","5","1","7","107.1262326786663","38.832978529006006","0.22549019607843135","0.2860983929530411"
"canny-trial-0056","5k18zazf","20260611-152809","9","13","5","154.736397939168","73.22043224050066","0.2058823529411765","0.2235182520819633"
"canny-trial-0015","6b56z1lz","20260611-152809","11","13","3","136.4545635514024","10.283070074933033","0.2058823529411765","0.21528773359041853"
"canny-trial-0007","ukhiw1w8","20260611-152809","7","11","3","51.5175275278743","25.246859277409875","0.2058823529411765","0.2821196897996828"
"canny-trial-0027","3ork7j3l","20260611-152809","11","14","3","156.33860913201357","10.5196067637722","0.18627450980392157","0.17511842260175595"
"canny-trial-0077","6sl08vlv","20260611-152809","3","15","5","103.43729963058516","37.83325087377597","0.18627450980392157","0.2609458997743278"
"canny-trial-0074","xdyvz679","20260611-152809","5","14","5","88.6318891357915","10.372838273675724","0.17647058823529413","0.25652357887909594"
"canny-trial-0034","taomo7im","20260611-152809","5","14","3","79.49820752787272","36.488138663281866","0.17647058823529413","0.2490656513630888"
"canny-trial-0002","e0svbqq4","20260611-152809","5","15","5","100.81150075852592","57.8842581893809","0.17647058823529413","0.30293263622550226"
"canny-trial-0028","cr92mlue","20260611-152809","11","12","5","36.521149387827535","24.464229741813327","0.16666666666666666","0.24448216501844017"
"canny-trial-0020","90gkgrd1","20260611-152809","3","10","3","145.09067116189172","35.8314796811633","0.16666666666666666","0.2633757322134961"
"canny-trial-0066","ef8emj1n","20260611-152809","3","14","5","158.2057188738558","26.784925896318832","0.16666666666666666","0.2782663145276835"
"canny-trial-0014","6blw129f","20260611-152809","3","6","3","128.10474342446295","42.987175557795645","0.16666666666666666","0.26154197768955867"
"canny-trial-0029","0p1nou4z","20260611-152809","11","11","7","203.97317440468169","65.74643386799389","0.13725490196078433","0.13883248012972868"
"canny-trial-0144","85oyw2qw","20260611-152809","3","12","7","93.79661412829444","54.67730441032273","0.12745098039215683","0.21844050454252"
"canny-trial-0060","s9qtf4cw","20260611-152809","5","12","5","225.51202199772428","166.6277920940126","0.10784313725490197","0.11843641537747496"
"canny-trial-0039","6w4auo91","20260611-152809","9","15","5","242.77499555460423","81.43062841007853","0.09803921568627452","0.102884492655627"
"canny-trial-0078","czopy1ei","20260611-152809","9","13","5","283.6496234935868","28.834385435163497","0.08823529411764706","0.08649906632960487"
"canny-trial-0037","g4f4d2np","20260611-152809","3","12","3","89.93717262310471","60.00542438109298","0.08823529411764706","0.2014552797607564"
"canny-trial-0017","3wvea014","20260611-152809","7","10","3","190.83205326374903","67.8879462667133","0.08823529411764706","0.10200552717973956"
"canny-trial-0024","phpsf6xg","20260611-152809","7","10","3","186.80226695254785","73.8671880932303","0.0784313725490196","0.09318344099815738"
"canny-trial-0040","wxlks8e7","20260611-152809","9","14","5","260.4012114459162","52.23275142044657","0.0784313725490196","0.07820957908577646"
"canny-trial-0050","eln19im3","20260611-152809","9","14","5","212.20542944625748","129.38853757718368","0.06862745098039216","0.07639276761672122"
"canny-trial-0011","sh0obgp9","20260611-152809","7","11","3","23.32013232652582","12.085142557133215","0.06862745098039216","0.06587154493405577"
"canny-trial-0067","ptxkxqt4","20260611-152809","9","14","7","337.69137266530157","45.36938672782293","0.06862745098039216","0.06853987324092174"
"canny-trial-0035","5fikv0uc","20260611-152809","7","4","3","162.10816593820186","56.21506131020598","0.058823529411764705","0.06800566204390629"
"canny-trial-0018","83v4212b","20260611-152809","7","6","5","188.28471133957137","137.02491521232966","0.0392156862745098","0.0493855321214879"
"canny-trial-0006","r5kusl4a","20260611-152809","9","15","5","347.27649180620176","76.07636617447957","0.0392156862745098","0.036681924066288014"
"canny-trial-0008","0bmxcids","20260611-152809","5","1","7","278.5632868174246","105.37876090588156","0.029411764705882353","0.026923623841245293"
"canny-trial-0004","rql1bhuq","20260611-152809","9","2","7","340.0517631911921","56.673457326138944","0.029411764705882353","0.02738274589334241"
"canny-trial-0001","m6v4u31x","20260611-152809","9","8","7","265.9866948817694","116.59400295543428","0.029411764705882353","0.04725422550762733"
"canny-trial-0000","45ft2xb0","20260611-152809","7","9","3","362.71881918438345","112.05818478835816","0.0196078431372549","0.01729478533912391"
"canny-trial-0009","n06pglsu","20260611-152809","3","4","5","409.57358090915625","190.1675579184","0.0196078431372549","0.017240635307827937"
"canny-trial-0030","hy36c6tu","20260611-152809","11","9","3","267.11433067939583","91.2165673591185","0.00980392156862745","0.009482854240234423"
"canny-trial-0103","6a7qmose","20260611-152809","11","15","5","243.02692732071895","195.06382858699928","0","0.014045289171898815"
"canny-trial-0005","x2agy31t","20260611-152809","11","12","3","373.5124039693322","89.58614147852785","0","0"
"canny-trial-0010","r03t8bxr","20260611-152809","7","6","3","254.7411229329716","168.1821111970619","0","0"
